sap-id;street;zip;place;state;network-address
5323;Bischofszellerstrasse 303;9212;Arnegg;SG;10.110.240.160
5345;Hauptstrasse 38;3713;Reichenbach im Kandertal;BE;10.110.243.112
5346;Rheinstrasse 113D;4402;Frenkendorf;BL;10.110.240.176
5347;Route de Courgenay 18;2900;Porrentruy;JU;10.110.226.32
5356;Bottmingerstrasse 65;4142;Münchenstein;BL;10.110.243.32
5367;Löwenberg 48;3280;Murten;FR;10.110.243.144
5368;Route de la Drague 46A;1950;Sion;VS;10.110.243.48
5380;Schwalbenweg 43c;3627;Heimberg;BE;10.110.240.192
5396;Bollstrasse 30;3076;Worb;BE;10.110.243.16
5412;Chlirietstr. 1;8604;Volketswil;ZH;10.110.242.208
5460;Place de la Gare 2;1110;Morges;VD;10.110.240.208
5461;Bahnhof;7320;Sargans;SG;10.110.240.224
5462;Place de la Gare 10;3960;Sierre;VS;10.110.240.240
5463;Place de la Gare;1950;Sion;VS;10.110.241.0
5478;Silbernstrasse 8a;8953;Dietikon;ZH;#N/A
5505;Ringstrasse 31;7000;Chur;GR;10.110.243.64
5538;Kantonsstrasse 99;3952;Susten;VS;10.110.226.0
5559;Seetalstrasse 44;6020;Emmenbrücke;LU;10.110.241.16
5561;Grenzstrasse 1B;6214;Schenkon;LU;10.110.241.32
5566;Rappagugg 2;7205;Zizers;GR;10.110.242.224
5601;Place de la Gare 3;1020;Renens;VD;#N/A
5615;En Rambuz 21;1037;Etagnières;VD;10.110.243.80
5620;Badenerstrasse 812;8048;Zürich-Altstetten;ZH;10.110.241.64
5656;Avenue de Fully 53;1920;Martigny;VS;10.110.243.96
5694;Place de la Gare 11;1003;Lausanne;VD;10.110.243.128
